Designator,Footprint,Center X (mm),Center Y (mm),Rotation,Layer
J_R7,3P 7.62mm,178.00,127.00,0,T
LED_R7,Green LED,183.00,130.00,0,T
R_LED_R7,1.5k,180.00,130.00,0,T
Q_R8,S8050,148.00,144.00,0,T
ISO_R8,PC817,165.00,144.00,0,T
R_PC817_R8,330R,173.00,144.00,0,T
R_GR8,100R,155.00,144.00,0,T
D_FLY8,1N4148,162.00,144.00,0,T
RELAY8,SRD-05VDC-SL-C,168.00,144.00,0,T
J_R8,3P 7.62mm,178.00,144.00,0,T
LED_R8,Green LED,183.00,147.00,0,T
R_LED_R8,1.5k,180.00,147.00,0,T
TP_12V,+12V_PROTECTED,5.00,0.00,0,T
TP_5V,+5V_SYS,5.00,3.00,0,T
TP_3V3ESP,+3V3_ESP,5.00,6.00,0,T
TP_3V3ANA,+3V3_ANA,5.00,9.00,0,T
TP_GND,GND_STAR,5.00,12.00,0,T
TP_TX,UART0_TX,5.00,15.00,0,T
TP_RX,UART0_RX,5.00,18.00,0,T
TP_EN,EN_ESP,5.00,21.00,0,T
TP_BOOT,BOOT_ESP,5.00,24.00,0,T
TP_SCL,I2C_SCL,5.00,27.00,0,T
TP_SDA,I2C_SDA,5.00,30.00,0,T
TP_WD,WATCHDOG_KICK,5.00,33.00,0,T
TP_PWRGOOD,POWER_GOOD,5.00,36.00,0,T
TP_RLY_EN,RELAY_EN,5.00,39.00,0,T
TP_BOOT_OK,BOOT_OK,5.00,42.00,0,T
TP_WD_RST,WATCHDOG_RST,5.00,45.00,0,T
J_PWR_EXT,CONN_7.62_2P,190.00,20.00,0,T
J_EXP_HEADER,CONN_5.08_2x5,90.00,42.50,0,T
D_EXP_ESD1,BAT54S,75.00,40.00,0,T
D_EXP_ESD2,BAT54S,75.00,44.00,0,T
D_EXP_ESD3,BAT54S,75.00,48.00,0,T
D_EXP_ESD4,BAT54S,75.00,52.00,0,T
